,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
1089,339000,3,3,105,1,3
1090,365000,4,4,140,1,4
1091,239000,1,2,95,1,3
1092,595000,0,4,152,2,4
1094,159000,5,0,29,1,4
1095,450000,3,2,150,1,2
1096,320000,0,2,90,1,2
1097,480000,3,3,162,1,2
1098,379000,3,2,91,1,4
1099,395000,0,2,125,2,2
1100,249000,5,1,59,1,4
1101,179500,0,1,70,1,3
1102,295000,2,1,106,1,5
1103,173000,1,1,65,1,5
1109,295000,2,1,106,1,5
1110,71000,4,0,18,1,5
1111,295000,1,2,83,1,5
1112,244000,2,1,65,1,4
1116,239000,2,3,94,1,4
1125,293000,5,3,110,1,3
1126,300000,1,3,101,1,5
1129,239000,0,2,92,1,4
1132,249000,1,2,90,1,5
1138,165000,0,2,40,1,0
1139,249000,2,2,90,1,5
1142,795000,4,3,90,2,3
1146,185000,10,1,48,1,2
1147,399000,2,2,107,1,4
1148,229000,7,2,80,1,4
1149,245000,0,2,98,1,4
1150,165000,10,2,75,1,4
1151,269000,1,2,118,1,4
1152,264143,0,2,89,1,5
1154,325000,0,3,125,1,4
1155,270000,4,2,99,1,4
1156,345000,1,2,95,1,5
1157,140000,5,1,29,1,4
1158,215000,2,1,60,1,5
1159,439000,1,3,140,1,5
1160,475000,3,3,115,1,5
1161,295000,6,2,87,1,5
1162,439000,1,3,140,1,5
1163,1350000,5,3,284,3,5
1164,310000,2,2,95,1,4
1165,239000,1,2,60,2,5
1166,297000,2,3,154,1,2
1167,199000,0,3,110,1,4
1168,225000,0,1,52,1,0
1169,199000,3,2,56,1,5
1170,339000,0,2,121,1,4
1171,790000,5,4,190,2,5
1172,424000,0,2,105,1,5
1173,249000,3,3,185,2,5
1174,235000,4,0,56,1,4
1176,399000,0,2,148,1,4
1177,745000,0,3,180,2,5
1178,325000,5,3,123,1,0
1179,435000,9,2,74,1,5
1180,120000,0,0,35,1,4
1181,295000,6,2,92,1,0
1182,660000,3,2,55,1,3
1183,185000,0,1,60,1,0
1184,225000,2,2,82,1,4
1185,215000,2,2,101,1,4
1186,335000,1,3,111,1,4
1187,225000,3,1,70,1,4
1188,385000,2,2,98,1,4
1189,339000,3,2,135,1,3
1190,290000,2,3,148,1,3
1191,440000,4,2,115,1,4
1192,224000,8,3,98,1,4
1194,279000,2,2,83,1,5
1196,449000,3,3,123,1,4
1197,425000,1,3,139,1,5
1199,174000,1,2,90,1,4
1200,390000,3,2,105,2,0
1203,457000,2,3,155,1,5
1204,795000,1,2,78,1,4
